product_24,151.68,8,2024-06-22
product_21,100.72,8,2024-02-02
product_10,384.11,3,2024-02-15
product_39,224.16,7,2024-05-26
product_20,243.43,1,2024-03-17
product_8,262.62,8,2024-02-03
product_31,225.32,5,2024-03-05
product_5,232.69,9,2024-06-15
product_50,188.76,5,2024-04-08
product_31,486.06,7,2024-01-24
product_26,355.15,3,2024-01-04
product_22,130.32,6,2024-01-05
product_39,410.09,6,2024-05-14
product_18,108.42,10,2024-04-10
product_1,427.51,5,2024-06-22
product_10,192.91,7,2024-02-15
product_23,155.89,4,2024-04-02
product_9,292.17,5,2024-04-28
product_16,456.29,10,2024-03-26
product_32,299.65,9,2024-02-19
product_42,476.0,9,2024-01-15
product_40,236.56,3,2024-03-19
product_41,333.86,10,2024-02-13
product_44,51.14,8,2024-06-22
product_5,218.24,9,2024-01-06
product_43,26.54,4,2024-03-15
product_26,427.39,1,2024-01-29
product_20,303.65,10,2024-06-25
product_7,89.27,3,2024-03-14
product_46,167.95,9,2024-06-24
product_15,291.43,5,2024-04-15
product_23,78.72,6,2024-05-19
product_1,361.73,4,2024-04-05
product_2,322.52,10,2024-02-16
product_12,307.99,1,2024-06-14
product_32,403.05,3,2024-06-20
product_26,338.22,10,2024-01-12
product_46,55.4,2,2024-02-06
product_25,124.38,9,2024-05-16
product_48,388.26,8,2024-01-28
product_2,52.57,1,2024-05-11
product_17,128.66,9,2024-03-17
product_32,434.93,2,2024-01-24
product_34,163.71,8,2024-02-10
product_35,423.92,9,2024-01-04
product_21,344.99,4,2024-05-02
product_42,183.28,8,2024-04-05
product_24,183.45,7,2024-02-17
product_46,476.12,10,2024-02-17
product_17,33.69,1,2024-02-12
product_6,253.04,2,2024-02-07
product_30,393.75,5,2024-06-16
product_44,267.08,5,2024-03-13
product_6,69.27,1,2024-05-21
product_38,13.92,3,2024-06-20
product_19,452.33,2,2024-03-16
product_12,90.97,2,2024-02-17
product_16,422.48,8,2024-05-29
product_35,347.97,2,2024-04-16
product_14,204.4,8,2024-06-26
product_43,482.79,1,2024-05-24
